player_id,player_name,team,fga_rim,fgm_rim,fga_paint_non_ra,fgm_paint_non_ra,fga_midrange,fgm_midrange,fga_corner3,fgm_corner3,fga_above_break3,fgm_above_break3,total_fga,total_fgm,assisted_fgm,unassisted_fgm,ppg,rpg,apg
202066,Garrett Temple,TOR,0,0,2,0,1,1,4.0,2.0,8,1,15.0,4.0,3.0,1.0,0.8,0.4,0.4
1629726,Garrison Mathews,IND,4,2,1,1,1,1,17.0,8.0,29,9,52.0,21.0,21.0,0.0,5.2,1.1,0.7
203914,Gary Harris,MIL,17,12,10,3,9,3,39.0,18.0,29,10,104.0,46.0,39.0,7.0,2.7,1.3,1.1
1627780,Gary Payton II,GSW,223,170,61,34,4,1,64.0,22.0,63,15,415.0,242.0,200.0,42.0,7.5,3.6,1.7
1629018,Gary Trent Jr.,MIL,20,11,57,25,54,24,104.0,41.0,238,82,473.0,183.0,142.0,41.0,8.1,1.0,1.2
203507,Giannis Antetokounmpo,MIL,402,311,69,25,82,22,1.0,1.0,44,14,598.0,373.0,183.0,190.0,27.6,9.8,5.4
1629048,Goga Bitadze,ORL,184,134,27,16,3,0,4.0,1.0,7,1,225.0,152.0,105.0,47.0,5.9,5.0,1.3
1641711,Gradey Dick,TOR,105,72,48,14,45,19,71.0,28.0,115,28,384.0,161.0,143.0,18.0,6.0,1.9,0.7
1641761,Grant Nelson,BKN,6,4,3,1,0,0,0.0,0.0,0,0,9.0,5.0,5.0,0.0,4.3,1.5,1.3
1629684,Grant Williams,CHA,16,11,23,9,10,6,49.0,21.0,85,31,183.0,78.0,68.0,10.0,7.0,3.9,1.6
1628960,Grayson Allen,PHX,89,61,107,41,16,8,54.0,22.0,401,137,667.0,269.0,173.0,96.0,16.5,3.0,3.8
1627824,Guerschon Yabusele,CHI,70,42,37,11,9,3,68.0,25.0,128,44,312.0,125.0,106.0,19.0,5.6,3.5,0.9
1630611,Gui Santos,GSW,171,125,63,25,4,2,60.0,28.0,162,50,460.0,230.0,177.0,53.0,9.2,3.9,2.3
203084,Harrison Barnes,SAS,107,77,85,38,25,8,193.0,76.0,165,63,575.0,262.0,214.0,48.0,9.9,2.8,1.9
1631127,Harrison Ingram,SAS,3,3,2,1,0,0,0.0,0.0,1,1,6.0,5.0,4.0,1.0,1.6,0.4,0.1
1643060,Hayden Gray,UTA,0,0,1,1,1,1,0.0,0.0,1,0,3.0,2.0,0.0,2.0,6.0,0.0,1.0
1629312,Haywood Highsmith,PHX,4,2,5,2,0,0,4.0,2.0,10,6,23.0,12.0,10.0,2.0,5.4,1.9,1.0
1630529,Herbert Jones,NOP,128,71,62,21,28,11,84.0,28.0,176,52,478.0,183.0,131.0,52.0,8.9,3.4,2.8
1642864,Hugo González,BOS,84,61,39,13,7,1,56.0,23.0,60,19,246.0,117.0,92.0,25.0,3.9,3.3,0.5
1630621,Hunter Dickinson,NOP,2,1,5,3,3,1,1.0,0.0,3,0,14.0,5.0,4.0,1.0,2.4,1.0,0.4
1642282,Hunter Sallis,PHI,3,2,2,1,0,0,0.0,0.0,0,0,5.0,3.0,1.0,2.0,1.0,0.1,0.6
1641816,Hunter Tyson,DEN,11,5,6,1,2,1,8.0,0.0,25,7,52.0,14.0,11.0,3.0,2.2,1.7,0.8
1630193,Immanuel Quickley,TOR,110,74,238,114,81,35,73.0,29.0,403,149,905.0,401.0,249.0,152.0,16.4,4.0,5.9
1642403,Isaac Jones,DET,4,3,1,0,0,0,1.0,0.0,1,0,7.0,3.0,1.0,2.0,1.3,0.7,0.1
1630171,Isaac Okoro,CHI,203,128,34,10,2,1,126.0,43.0,94,29,459.0,211.0,163.0,48.0,9.3,2.7,1.6
1642268,Isaiah Collier,UTA,162,119,217,99,36,10,22.0,6.0,78,21,515.0,255.0,91.0,164.0,11.7,2.5,7.2
1642384,Isaiah Crawford,HOU,7,5,1,0,3,2,9.0,3.0,4,0,24.0,10.0,8.0,2.0,2.0,1.1,0.4
